tweet_id,retweet_count,favorite_count
892420643555336193,6847,32803
892177421306343426,5154,28351
891815181378084864,3403,21291
891689557279858688,7056,35758
891327558926688256,7567,34189
891087950875897856,2539,17219
890971913173991426,1616,10037
890729181411237888,15387,55157
890609185150312448,3542,23747
890240255349198849,5958,27070
890006608113172480,6002,26204
889880896479866881,4053,23757
889665388333682689,8160,40774
889638837579907072,3632,22958
889531135344209921,1847,12937
889278841981685760,4342,21371
888917238123831296,3674,24825
888804989199671297,3450,21753
888554962724278272,2828,16794
888078434458587136,2832,18507
887705289381826560,4422,25748
887517139158093824,9591,39404
887473957103951883,14690,58423
887343217045368832,8564,28644
887101392804085760,4867,26082
886983233522544640,6163,29467
886736880519319552,2562,10190
886680336477933568,3652,19099
886366144734445568,2561,17974
886267009285017600,4,101
886258384151887873,5150,23777
886054160059072513,90,0
885984800019947520,5489,27759
885528943205470208,5208,30622
885518971528720385,3039,17342
885311592912609280,15090,0
885167619883638784,3584,18643
884925521741709313,14640,65326
884876753390489601,4554,23617
884562892145688576,3803,20635
884441805382717440,4694,23067
884247878851493888,16547,61661
884162670584377345,2441,17366
883838122936631299,2788,18531
883482846933004288,8071,38905
883360690899218434,3005,19304
883117836046086144,5414,31520
882992080364220416,3172,20353
882762694511734784,4012,24042
882627270321602560,4941,23818
882268110199369728,9373,38078
882045870035918850,3981,24912
881906580714921986,2777,20756
881666595344535552,8723,43133
881633300179243008,8,112
881536004380872706,13074,42078
881268444196462592,4361,19779
880935762899988482,2270,14530
880872448815771648,3141,18132
880465832366813184,5096,24277
880221127280381952,3386,22923
880095782870896641,3565,23511
879862464715927552,2857,19083
879674319642796034,9,280
879492040517615616,2567,20028
879415818425184262,36566,90158
879376492567855104,2598,14405
879130579576475649,5592,0
879050749262655488,3853,19181
879008229531029506,2194,16246
878776093423087618,3348,16531
878604707211726852,5777,25638
878404777348136964,1050,0
878316110768087041,5407,0
878281511006478336,1048,6566
878057613040115712,5592,35796
877736472329191424,15459,67238
877556246731214848,3089,19255
